id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value
0,7,0.01,10000,2327872,7437533,895749,24744088,0,0,3093008,3093008
5,7,0.05,100000,3358873,7410216,677315,27368832,0,0,3421101,3421101
3,5,0.2,100000,1072953,6717649,872738,28617888,0,0,3577233,3577233
6,4,0.05,100000,569746,6649430,873872,28617720,0,0,3577212,3577212
2,0,0.05,100000,27050,7446413,143474,2114328,0,0,84759,264288
4,7,0.1,100000,3421100,6144388,1224865,27368832,0,0,3421101,3421101
8,4,0.05,1000000,569741,6252427,1028879,28618392,0,0,3577296,3577296
0,6,0.1,10000,2101131,6402943,749261,27125304,0,0,3390660,3390660
9,7,0.05,10000,2453694,6029755,929358,24744088,0,0,3093008,3093008
3,3,0.1,1000000,3216888,6481607,753869,28618392,0,0,3577296,3577296
0,4,0.05,10000,1020025,6754200,864123,28602776,0,0,3575344,3575344
8,3,0.05,10000,3395752,6254800,794112,28618392,0,0,3577296,3577296
7,3,0.1,10000,3577295,6663224,536488,28618392,0,0,3577296,3577296
0,0,0.2,100000,259904,6543830,84372,2114328,0,0,264288,264288
7,0,0.01,1000000,1171769,7253237,1136561,18716496,0,0,2339559,2339559
6,3,0.1,1000000,3216888,4782682,478850,28618392,0,0,3577296,3577296
1,6,0.1,10000,857685,5330235,858223,27125304,0,0,3390660,3390660
1,7,0.1,100000,2016445,7274962,1128789,27368832,0,0,3421101,3421101
5,0,0.1,1000000,2316668,7056325,829993,18716496,0,0,2339559,2339559
0,3,0.1,1000000,3216888,6230522,672418,28618392,0,0,3577296,3577296
