id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value,weight
5,4,0.2,100000,16666,5479068,600874,28617720,0,0,3576197,3577212
5,4,0.01,1000000,124999,5374867,656432,28618392,0,0,3577251,3577296
1,0,0.2,10000,9999,5294673,951,192152,0,0,24013,24016
9,5,0.01,1000000,249999,5073311,695279,28618392,0,0,3577286,3577296
6,0,0.05,100000,24999,5046903,113437,2114328,0,0,79057,264288
9,7,0.2,1000000,166666,5271924,917563,28248248,0,0,3452916,3531028
1,6,0.01,100000,16666,5291006,726282,28177448,0,0,3452021,3522178
3,4,0.2,10000,1666,5305439,631909,28602776,0,0,3558302,3575344
3,6,0.2,10000,9999,5310305,825349,27125304,0,0,3390637,3390660
3,0,0.2,1000000,124999,5039886,650295,18716496,0,0,315016,2339559
8,5,0.1,100000,49999,5251436,682471,28617888,0,0,3577025,3577233
3,4,0.05,1000000,166666,5164498,659784,28618392,0,0,3577276,3577296
7,6,0.01,1000000,999999,5310380,852045,28412664,0,0,3551580,3551580
6,5,0.05,10000,2499,4728403,654268,28603320,0,0,3564911,3575412
6,3,0.01,10000,9999,4956678,313556,28618392,0,0,3577296,3577296
0,5,0.01,100000,16666,4987189,611547,28617888,0,0,3576277,3577233
4,3,0.2,100000,24999,4676691,396415,28618392,0,0,3577296,3577296
2,3,0.1,100000,24999,4570410,374903,28618392,0,0,3577296,3577296
3,6,0.2,100000,16666,5359065,865891,28177448,0,0,3452021,3522178
8,3,0.2,1000000,249999,4876042,474947,28618392,0,0,3577296,3577296
6,7,0.05,100000,12499,5023286,883212,27368832,0,0,3150124,3421101
0,6,0.05,1000000,249999,5199984,704732,28412664,0,0,3531027,3551580
6,7,0.01,1000000,166666,5179213,887216,28248248,0,0,3452916,3531028
7,7,0.05,100000,99999,4865838,882388,27368832,0,0,3421101,3421101
2,7,0.01,100000,49999,5032531,616461,27368832,0,0,3355711,3421101
4,3,0.1,10000,2499,4212845,355097,28618392,0,0,3577296,3577296
5,3,0.05,100000,24999,4959085,361381,28618392,0,0,3577296,3577296
3,7,0.2,1000000,999999,4777218,895388,28248248,0,0,3531028,3531028
7,4,0.05,10000,2499,4824606,648157,28602776,0,0,3566981,3575344
5,6,0.05,100000,99999,5059373,869338,28177448,0,0,3522178,3522178
6,3,0.01,100000,99999,4317866,388377,28618392,0,0,3577296,3577296
2,7,0.05,10000,1249,4930365,498054,24744088,0,0,2332892,3093008
3,7,0.1,100000,12499,4889422,833275,27368832,0,0,3150124,3421101
