id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value,rank
2,3,0.01,100000,0.0,7044556,2,19272,3504348,23,6,3538840
7,5,0.05,100000,0.75,740603,0,840,451585,23,19,2970122
8,7,0.01,100000,0.75,2043675,2,8544,1372657,23,2461,2586291
1,6,0.05,1000000,0.75,681215,1,504,213470,23,1861,2881517
1,6,0.05,10000,0.0,700990,1,1344,295231,23,0,381288
5,3,0.2,100000,0.5,893054,1,1080,2152038,23,6,2859158
4,5,0.01,10000,0.25,2823331,1,9840,1836189,23,1,1082162
7,7,0.05,10000,0.5,849287,1,1848,880485,23,12,1494483
4,4,0.05,10000,0.25,749552,1,984,523495,23,2,1020025
7,4,0.2,1000000,0.25,613268,1,144,50,22,3,1677330
2,3,0.01,10000,0.75,7133742,1,19272,3504348,23,6,3538840
8,6,0.1,1000000,0.5,636991,0,240,19941,23,306,1954606
8,0,0.05,10000,0.0,612908,1,432,13317,23,547,2147
2,4,0.01,10000,1.0,2954790,2,10752,1902000,23,10000,3575343
4,6,0.1,1000000,0.75,641201,1,240,19941,23,2210,3040225
8,6,0.01,10000,0.75,1705623,1,5328,1142414,23,1466,2581989
0,3,0.05,10000,0.75,1994355,2,4200,3219150,23,6,3395752
1,7,0.05,1000000,0.25,832914,1,1704,832354,23,0,1004199
1,7,0.05,10000,0.75,861239,2,1848,880485,23,1184,2453694
4,0,0.01,1000000,0.5,992920,1,2472,1318592,23,477671,1171769
5,3,0.01,1000000,0.0,7033927,2,19272,3504348,23,6,3538840
0,4,0.05,1000000,0.25,750558,1,960,520169,23,2,1019924
7,7,0.05,1000000,0.75,838311,1,1704,832354,23,3130,2775409
6,5,0.1,100000,0.25,625938,1,240,16402,23,1,855922
6,3,0.01,1000000,0.75,7036844,2,19272,3504348,23,6,3538840
7,6,0.01,10000,0.75,1708100,1,5328,1142414,23,1466,2581989
5,0,0.1,10000,0.75,618079,1,240,13290,23,6586,17627
2,7,0.01,1000000,0.0,2026224,1,8112,1375496,23,0,1145441
7,7,0.05,100000,1.0,852056,1,1752,865530,23,29300,3358873
1,7,0.01,100000,0.75,2031875,1,8544,1372657,23,2461,2586291
7,5,0.2,1000000,1.0,621665,1,168,261,23,542196,3577295
7,6,0.05,100000,0.75,690149,1,480,234314,23,1490,2591403
5,5,0.05,1000000,0.75,798261,1,840,458984,23,19,2970122
9,4,0.05,1000000,0.0,746144,1,960,520169,23,1,569741
8,0,0.2,10000,0.0,614882,1,168,13283,23,3210,10322
0,3,0.01,1000000,0.5,7039381,1,19272,3504348,23,6,3538840
9,6,0.05,100000,1.0,684388,1,480,234314,23,99995,3522177
4,4,0.1,10000,0.25,636756,1,600,47274,23,2,973741
6,6,0.2,1000000,0.0,630297,0,168,33,21,12,1463483
3,6,0.01,100000,0.5,1662513,1,4992,1118675,23,413,1774780
6,6,0.2,1000000,0.75,630282,1,168,33,21,674,2437296
9,4,0.01,1000000,1.0,2918075,2,10752,1895217,23,453190,3577295
7,7,0.1,1000000,0.5,704305,0,768,478743,23,63,1891099
3,3,0.1,10000,0.0,1267522,1,2112,2861767,23,6,3216888
2,6,0.1,100000,1.0,635593,1,216,21720,23,99995,3522177
8,0,0.2,100000,1.0,625347,1,456,122135,23,96240,259904
3,4,0.1,1000000,0.75,634511,1,624,46957,23,22,3269255
1,7,0.2,1000000,0.25,622799,1,144,6642,23,6,1763586
0,3,0.01,10000,0.0,7061826,3,19272,3504348,23,6,3538840
6,4,0.01,1000000,0.75,2919293,1,10752,1895217,23,15,2690337
1,3,0.2,10000,1.0,896547,1,1080,2152038,23,17,3577295
9,7,0.01,10000,0.5,2144753,1,8376,1399236,23,36,1605542
0,0,0.05,10000,0.0,615716,1,432,13317,23,547,2147
8,0,0.05,100000,0.0,623494,1,2064,125529,23,7131,27050
3,3,0.2,1000000,0.25,893428,0,1080,2152038,23,6,2859158
3,0,0.1,1000000,0.75,663752,1,264,1230864,23,775352,2050374
1,4,0.01,10000,0.25,2936527,1,10752,1902000,23,2,1162893
2,7,0.2,10000,0.25,628653,0,144,53989,23,4,1666939
